REFERENCNI
#volani    cas (s)
43e+3      0.01
17e+6      0.4
76e+6      1.8
210e+6     5.5
291e+6     7.3
6e+9       178
14e+9      428
14e+9      410
9e+9       276
43e+9      1342


MOJE (3.8 GHz CPU, 6 core, 6 threads [no hyperthreading])
cas real (s)    cas user (s)
0.01            0.01
0.09            0.47
0.42            2.42
1.24            7.27
1.69            9.94
43.8            258
86.0            503
92.4            538
56.7            325
279             1635
