REFERENCNI
#volani    cas (s)
43e+3      0.01
17e+6      0.4
76e+6      1.8
210e+6     5.5
291e+6     7.3
6e+9       178
14e+9      428
14e+9      410
9e+9       276
43e+9      1342


MOJE (3.8 GHz CPU, 6 core, 6 threads [no hyperthreading])
#volani    cas real (s)    cas user (s)
32e+3      0.01            0.01
12e+6      0.13            0.72
66e+6      0.54            3.17
194e+6     1.61            9.28
272e+6     2.42            14.1
6e+9       54.8            311
11e+9      111             638
12e+9      117             672
7e+9       76              422
38e+9      363             2121
